id,name,document,date_of_birth,phone_number,account_number,balance
278,João Vitor Rocha,148.653.029-05,19/10/1975,+55 12 9 4379 3373,2720334648834974,24255
279,Mariana Cunha,730.529.814-04,20/06/1980,+55 73 93983 6037,2238886587107311,88125
280,Luiz Gustavo Rezende,241.856.097-01,28/11/1959,+55 (091) 98568 7999,2261175301868931,30004
281,Helena Pereira,754.386.012-08,10/09/1993,+55 (22) 95757 4407,2275935023156236,80437
282,João Pedro Martins,452.630.197-34,03/07/1980,+55 (83) 97556 8559,2241442035472215,13860
283,Dra. Rafaela Santos,126.370.589-86,23/03/1976,+55 (038) 95692 8459,2386459060497631,49884
284,Carlos Eduardo Farias,624.793.158-19,19/12/1967,+55 (85) 93094 4978,2268665102511345,33029
285,Sra. Maria Vitória Rodrigues,069.527.381-77,12/03/1967,+55 (067) 90451-7594,2720393913540377,45151
286,Larissa Mendes,827.610.934-96,05/04/1993,+55 41 96818-6342,5532134408164997,59317
287,Sr. Bernardo Novaes,182.503.964-05,31/03/1978,+55 (66) 9 7124-1177,2267958342706127,6726
288,Rodrigo Aragão,795.248.316-19,20/08/1968,+55 89 95127 5298,2371272164708580,21127
289,Amanda Silva,490.812.563-51,02/07/1979,+55 (74) 9 0712-2103,2303631834889836,22592
290,Sarah Nunes,218.436.750-80,04/09/1962,+55 (097) 95960-0381,2700255303421258,17570
291,Antônio Alves,914.523.780-88,23/11/1975,+55 (83) 9 3822-9422,2269033264483028,68925
292,Eduardo Nascimento,071.394.582-60,20/04/2004,+55 18 9 7228 6748,5295695355867375,9041
293,Isadora Nunes,632.815.490-98,11/11/1960,+55 (71) 95049-3331,2258010246163707,94915
294,Luiz Henrique Jesus,924.107.865-02,07/06/1963,+55 (51) 9 8576-6446,2239072644849265,9043
295,Sarah Campos,905.321.846-70,19/12/1990,+55 (22) 95507-7312,2713627062398163,58608
296,Marcos Vinicius Araújo,287.964.305-83,25/02/1959,+55 (50) 9 2897-9185,2278554957836056,18444
297,Dr. Caio da Paz,278.946.105-85,10/12/1991,+55 (51) 9 7268 1318,2222463881510927,97352
298,André Costela,294.167.083-13,21/08/1973,+55 68 99829-5842,2297124257430765,59043
299,Dra. Alana Lima,381.472.509-32,20/04/1962,+55 (099) 91118 1936,2248511985859697,75279
300,Daniela Rezende,018.934.256-06,17/12/1989,+55 12 9 3380 7133,2439233323132716,12314
301,Sarah Teixeira,475.618.932-64,10/01/1989,+55 (84) 9 3220 0727,5515563143287179,15671
302,Letícia Gonçalves,065.921.478-49,09/10/2001,+55 (067) 91196 4984,2719876792370190,86295
303,Sr. Cauã Pinto,172.639.085-30,08/05/2005,+55 (019) 96225 4563,2262899613238546,69330
304,Renan Oliveira,345.789.120-60,02/05/1982,+55 89 9 8604 5007,2296369526455157,83948
305,Thomas Cardoso,583.970.426-10,11/07/1996,+55 23 9 1733-6206,2609017299702477,3326
306,Emanuelly Souza,356.408.712-53,24/12/1982,+55 (01) 97678 4942,5502240596620264,67760
307,Pedro Henrique Melo,875.491.603-84,26/08/1966,+55 53 97898 4931,2234328041769950,97985
308,Mariana da Paz,084.296.351-06,17/09/1999,+55 (033) 92586 3665,2283445201673358,38542
309,Ana Vitória da Costa,529.674.130-70,10/07/1969,+55 60 95805 1409,5147730568611615,20477
310,Danilo Nascimento,304.871.256-90,23/08/2002,+55 63 9 1367 0064,2231919841765389,85979
311,Helena Azevedo,609.547.832-47,08/01/1969,+55 (04) 91369 3485,2569500194946826,82609
312,Júlia Nunes,490.256.138-70,17/02/1980,+55 (086) 92754-2399,2526007238377960,7335
313,Ryan Oliveira,180.425.679-01,26/09/1973,+55 70 9 1505 6192,5368616626165961,15829
314,Ian das Neves,689.107.254-94,02/10/1991,+55 68 9 7627-5429,2703216272346220,33060
315,Vitória Barros,231.095.864-60,08/02/1979,+55 (66) 96298 9612,2247660426872180,36066
316,Valentina Fernandes,786.421.539-46,02/11/2005,+55 48 90984 3078,5399950892336540,6677
317,Felipe Silveira,413.928.760-87,26/05/1970,+55 (51) 9 8509 8477,5477002621036689,68378
318,João Felipe Souza,896.130.725-86,08/01/1986,+55 (067) 90771 0895,2226575266206502,77943
319,Dra. Mirella Santos,789.106.354-01,04/06/1986,+55 50 91885 8508,2345961125956162,69568
320,Matheus Cardoso,426.137.805-17,07/10/1982,+55 (98) 9 0661 3251,5537587474700173,9013
321,Raul Gomes,615.879.342-64,09/08/1974,+55 07 97253-4565,2254787956100433,30613
322,Pedro Henrique da Conceição,217.493.586-46,29/09/1980,+55 (50) 9 6008 5388,5566264223293694,18377
323,Dra. Marcela Alves,147.352.908-50,09/01/1989,+55 55 94410 5100,2232361498260837,9822
324,Lucca Almeida,258.739.641-73,19/03/1989,+55 80 98983-3622,2290096473066705,97426
325,Clara Oliveira,607.198.423-87,24/01/1975,+55 18 92427 3335,2720514987111635,53924
326,Luiz Henrique da Mata,476.153.980-10,23/08/1996,+55 (058) 99413 0429,2714235401780015,82250
327,Alana das Neves,205.718.496-01,20/08/1963,+55 (28) 98530-0477,5206856213837285,70666
328,Caio Pires,209.175.634-25,20/07/1971,+55 60 9 8730 0619,2720785975530032,89230
329,Dr. Raul Dias,875.219.463-91,12/05/1968,+55 56 9 5550-0069,2668823343190777,58439
330,João Vitor Ferreira,698.204.517-01,14/10/2001,+55 96 9 9758 8848,2393171472254598,31931
331,Vitor da Mota,362.105.479-07,24/10/1961,+55 (040) 99262-1944,2720973191614281,45504
332,Juan Farias,317.486.520-44,01/11/2005,+55 96 9 1581-6022,5306768592319695,74658
333,Maria Luiza Melo,614.208.537-08,02/05/1985,+55 19 98317-7730,2703453561328896,20936
334,Maria Luiza Campos,670.189.524-76,22/04/1985,+55 (040) 93965-4948,2483664695313721,79586
335,Vitor das Neves,369.705.812-68,28/11/1965,+55 (62) 9 9221-1084,2703040940424692,45701
336,Alexandre Gomes,372.590.681-59,18/04/1963,+55 07 94890-2137,2232489602470768,52529
337,Fernanda Araújo,943.285.167-28,22/05/1966,+55 (055) 99885-5955,5599190607938664,11676
338,João Vitor Farias,957.043.268-38,11/02/1979,+55 (69) 95406-1865,5197518804918707,97505
339,Maria Eduarda das Neves,357.408.612-17,16/10/1977,+55 (34) 90327-5736,2271309073152277,28570
340,Yago Vieira,501.739.426-52,11/03/1960,+55 79 9 1562 2256,2231646303109570,34941
341,Caroline Martins,042.158.739-32,24/09/1967,+55 49 94191 6687,2289419294902861,79569
342,Marcela Duarte,629.140.378-13,16/03/1966,+55 09 99665 4759,5456335095583934,72392
343,Sr. Samuel Teixeira,619.387.452-64,27/11/1959,+55 (096) 91969 3265,2590278515309403,8887
344,Emanuella Moreira,815.047.629-67,23/05/1962,+55 (083) 95086-8788,2720963030448678,10461
345,Dr. João Miguel Correia,674.351.028-90,24/05/1977,+55 (36) 91567-8067,2240288989383747,62928
346,Milena Ribeiro,319.645.827-09,19/11/2005,+55 (78) 95421-4844,2291779659981693,3750
347,Cauã Ferreira,041.697.358-20,08/09/1967,+55 (045) 92724-2094,2298208668035567,37387
348,Valentina Martins,437.269.508-00,10/03/1958,+55 (20) 9 1692 2971,2263425382390364,26315
349,Francisco Porto,758.693.420-74,26/09/1972,+55 (14) 9 0180-0917,2277857479506607,94685
350,Thomas Rocha,934.762.185-46,22/09/1974,+55 (76) 9 2881-8671,2713496316937980,73834
351,Nathan Fernandes,046.325.971-80,01/03/1977,+55 (15) 90275 0881,5246768721099658,37200
352,Matheus Fogaça,589.436.107-93,29/09/2000,+55 (53) 97597 0597,2284947958811825,62602
353,Eloah Ribeiro,418.762.503-80,17/10/1997,+55 (81) 94708 5228,2433602241084603,68146
354,Arthur da Mata,390.524.817-41,20/05/1989,+55 95 9 9329 3117,2280526233784876,68432
355,Luiz Felipe Souza,684.317.290-31,08/12/1999,+55 (00) 9 1012 0420,2720382705473855,29016
356,Mariane Martins,713.409.568-10,04/06/1992,+55 58 9 6495-1988,2710137069334503,41029
357,Sr. Antônio Moraes,283.960.154-06,24/08/1993,+55 (71) 9 8748-5499,2240756727813589,89889
358,Dr. Theo Peixoto,581.462.730-17,18/01/1994,+55 (041) 92514 8007,5305806884073181,44432
359,Alana da Mota,592.841.306-89,08/08/1963,+55 (79) 9 5024-2833,2720623597025612,16984
360,Ana Vitória Peixoto,579.026.318-68,10/11/1988,+55 (24) 91618-1921,2232396440703773,28640
361,Bryan Cunha,856.721.049-67,29/07/1972,+55 (042) 98523 7072,2256098612611369,30959
362,Danilo Freitas,726.183.905-12,19/04/1980,+55 (66) 90158 3835,2437135567382810,23084
363,Joana Pereira,457.961.238-82,24/07/1975,+55 59 9 2143 1068,2289628240387064,56482
364,Matheus Duarte,367.182.509-02,18/03/1966,+55 (55) 95627-6275,2221074310977339,96094
365,Ana da Mota,480.379.621-13,13/04/1969,+55 59 9 5393 8711,5228858767214949,86997
366,Sra. Brenda Vieira,254.736.819-64,19/04/1995,+55 (72) 9 7691-6929,5133238785239661,91096
367,Sr. Luiz Gustavo Oliveira,913.625.740-07,17/10/1967,+55 (054) 95264-6822,2390734942316314,63627
368,Maysa Freitas,346.109.857-48,14/09/1965,+55 (82) 96608-0455,2271345422932472,52370
369,Lavínia da Costa,059.271.834-41,06/03/1995,+55 38 99010 2079,2223443581950598,13868
370,Anthony Melo,497.168.250-30,16/07/1961,+55 42 94514-5560,2223960406536435,10318
371,Lucas Gabriel Farias,560.713.489-00,20/05/1989,+55 49 94642-1860,2294811893259599,23331
372,Maria Vitória Almeida,671.583.042-80,15/04/1982,+55 (075) 91492 7199,5488872858859863,42298
373,Cauê Moraes,736.854.029-00,17/07/1966,+55 28 9 9626-1432,2237273030408052,52397
374,Caroline Porto,831.625.704-17,04/08/1962,+55 59 9 7442-0908,2720165706462377,38743
375,Calebe Costela,847.923.506-38,10/05/1985,+55 (86) 9 6546-2676,2263430205682385,77187
376,Juliana da Mota,018.567.934-00,26/07/1970,+55 (22) 9 2935-7987,2287524358073293,23579
377,Ana Luiza Viana,018.264.539-89,14/07/1977,+55 (28) 9 7435-9196,5217972614940250,66226
378,Dra. Stella Melo,473.986.150-00,05/07/1961,+55 (75) 93195 7258,2713725313672749,95462
379,Srta. Alice da Rocha,235.716.849-82,27/12/1981,+55 34 9 3612-1651,5102646387118215,3445
380,Sr. Miguel Lima,530.812.647-07,06/01/1978,+55 (19) 9 9422 2606,2269165880420800,58360
381,Stephany Monteiro,478.069.235-00,10/06/1971,+55 (023) 90705-7211,2227206632521023,51151
382,Bianca Gonçalves,382.671.094-04,09/02/1963,+55 (53) 93080-4159,2281359834457091,21860
383,Evelyn Moura,583.074.691-39,14/07/2001,+55 (70) 9 4811-3700,2720635676172883,18864
384,Ana Lívia Araújo,840.357.296-47,22/02/2004,+55 (02) 91879 6725,2693993778300800,60911
385,João Miguel Aragão,209.756.183-77,10/02/1974,+55 (099) 93855-4529,5407051322991812,76321
386,Dr. Daniel Freitas,405.362.189-51,17/04/1978,+55 (31) 98992 7841,2221247329958033,74816
387,Larissa Viana,708.569.142-58,17/04/1975,+55 70 98342 5437,5109947566540101,91032
388,Dr. Pedro Lucas Pires,231.079.846-04,15/05/1963,+55 (048) 99943-1229,5121919848760231,24248
389,Valentina da Rocha,768.214.095-01,10/02/1976,+55 (051) 93135 6221,5370517168131583,42816
390,Esther Peixoto,492.037.618-96,22/04/2003,+55 (12) 95289 0516,2680628173540767,2670
391,Antônio Nascimento,903.624.517-61,16/04/2002,+55 (61) 97527 4157,2638143170043164,85496
392,Luigi Costa,842.705.913-23,07/02/1987,+55 63 90337-7589,2226370959900508,30932
393,Sra. Natália Teixeira,864.950.723-92,20/12/1986,+55 84 90030 5047,2720649074687764,43683
394,Lívia Viana,347.268.159-46,17/10/1968,+55 19 90525 8846,2477081609854567,74324
395,Benjamin Jesus,247.691.850-49,04/08/1958,+55 (88) 95828-7688,2632696036083357,65429
396,Sra. Ana Vitória Vieira,982.473.615-82,04/09/1978,+55 29 97551-7224,2720462336529000,56584
397,Maria Vitória Araújo,068.713.945-75,19/11/1965,+55 88 94746-9015,2526711310812105,28012
398,Carlos Eduardo Correia,129.748.350-23,04/08/1987,+55 (23) 9 0593 7517,2450831372178003,63663
399,Emanuel Carvalho,602.759.184-67,26/06/1973,+55 (34) 99695 8331,2720998249975574,51457
400,João Guilherme Mendes,602.539.714-70,21/04/1962,+55 52 9 8905 6523,5198729638942099,86240
401,Lorena Ribeiro,062.439.857-92,30/09/1990,+55 (098) 95472 4553,2255106887793910,59826
402,Ana Vitória Ferreira,736.428.509-10,02/10/1973,+55 (20) 91338-8877,2615153711172742,83899
403,Levi Costela,984.716.520-30,21/12/1959,+55 44 97378 9356,2236892193643428,31949
404,Guilherme Moraes,125.764.308-80,06/04/2002,+55 22 9 6492-0504,2559293103079564,18294
405,Ana Clara Carvalho,139.786.425-73,17/01/2000,+55 32 90620 8561,2286066555655655,88174
406,Renan Santos,891.456.320-06,18/05/1969,+55 (14) 9 4379 2409,2548114134359433,59082
407,Olivia Cavalcanti,897.321.604-03,14/09/1977,+55 03 9 7584 6700,2710355327708405,79170
408,Heitor Vieira,216.543.980-98,13/09/1969,+55 46 9 2229 2445,2294215732778340,33870
409,Rafael Caldeira,593.017.248-04,10/10/1969,+55 41 9 9412 8990,2527732939260921,86657
410,Pietra Farias,765.843.021-80,26/11/1962,+55 (010) 97027-3126,2720980265599504,91992
411,Srta. Sofia Fogaça,249.763.081-03,13/08/1977,+55 (09) 9 3535-8841,2711258259204956,94177
412,Sr. Bruno Lopes,140.578.369-93,05/02/1985,+55 46 9 5992 1244,5155785823735905,9120
413,Carlos Eduardo Campos,683.570.914-66,10/01/1958,+55 (62) 9 8955-3409,5357024167294626,14413
414,Ana Beatriz da Mata,426.013.798-04,18/03/1986,+55 (88) 9 5230-7897,2705957167797690,55355
415,João Vitor Pinto,064.921.857-49,26/06/1972,+55 (53) 9 3249-9611,2292740850700554,89552
416,Fernando Costela,419.263.708-13,16/12/1968,+55 (84) 9 0346-4053,2417185932150495,40237
417,Ryan Campos,038.691.527-02,13/09/2000,+55 (70) 9 8167-7163,2408754780959777,92858
418,Paulo da Rosa,148.026.597-76,23/10/1965,+55 (80) 96245 8338,2701393922228363,76109
419,Lara Souza,430.812.756-44,27/09/2005,+55 (19) 9 9538-3100,2266510010458951,18711
420,Calebe Cardoso,348.756.019-48,18/11/1962,+55 13 99207 1515,2270614864618852,64301
421,Dr. João Guilherme Nogueira,832.569.417-37,02/05/1999,+55 (085) 99022-2808,2459633454278458,35563
422,Caio Ferreira,102.745.968-49,15/05/1959,+55 (001) 90750 0446,5229641941723749,82247
423,Natália Rezende,162.743.958-73,04/12/1959,+55 (038) 94010-4148,2361880097068294,40573
424,Vitor Barbosa,173.825.460-71,28/05/1980,+55 13 99825-1771,2615412243890688,73131
425,Thales Moura,295.468.310-42,28/01/1992,+55 (073) 90422 2033,2701177819196696,63484
426,Srta. Milena da Conceição,369.045.712-25,26/11/1997,+55 (61) 9 3805-1155,2252150996362541,41581
427,Pietra da Luz,823.015.476-71,26/10/1974,+55 09 9 1818-4402,2447012193100106,40130
428,Augusto Ramos,174.502.963-06,21/02/1991,+55 00 9 5387-8743,5421448679734682,4588
429,Isabelly Teixeira,813.765.294-91,02/03/1989,+55 43 95574 3932,2384018035631625,7072
430,Melissa Costela,834.679.510-66,25/08/1994,+55 85 99507 6949,2247992399582151,23632
431,Maria Alice Mendes,697.205.418-49,02/07/1967,+55 (79) 98784-8361,2720937031554965,71682
432,Sr. Lucas Gabriel da Costa,138.795.426-19,01/11/1961,+55 (071) 93548 0202,5390357674247771,78969
433,Caroline Lima,892.415.706-01,04/12/1974,+55 (069) 99816-4926,5204852497955887,31527
434,Mariane Nunes,128.590.743-41,18/09/1980,+55 42 90781 2649,2247596480005129,44557
435,Dra. Mirella Fogaça,049.367.812-31,19/06/1967,+55 (41) 91568 0534,2290795210682407,92702
436,Dr. Noah Ramos,214.756.893-73,27/03/1972,+55 18 93696 9065,5358388526730748,25072
437,Elisa Jesus,420.169.537-99,30/11/1972,+55 79 92590 8826,2703796355949685,48928
438,Eduarda Pereira,502.183.497-50,15/10/1991,+55 19 9 7421-7565,2271088877010291,95341
439,João Miguel Fogaça,429.365.718-55,11/12/1974,+55 (061) 98757 1131,2284293619680352,99088
440,Samuel Caldeira,160.274.953-16,20/02/1987,+55 (008) 99120-3415,2226309661169887,50416
441,Benício Souza,987.502.134-23,10/08/1982,+55 02 96937 2954,2260013981605151,13068
442,Isaac Rezende,084.572.619-67,12/08/1987,+55 (024) 95265 1762,2658376325987944,97777
443,Diego Duarte,530.147.986-57,13/07/1980,+55 92 92719 5814,2248002137221283,53725
444,Ana Lívia Araújo,948.176.035-93,17/05/1962,+55 (16) 9 1228-9813,5524859930564476,6648
445,Lavínia Nogueira,192.408.573-97,02/05/1962,+55 15 97967-3806,2434787506304827,78923
446,Isis Pereira,541.267.389-91,26/05/1994,+55 (037) 92641-7528,5442942537741454,99887
447,André Araújo,750.839.462-38,06/06/1962,+55 (50) 9 5805 3625,2688041578197351,70239
448,Srta. Kamilly Nunes,415.693.278-82,26/10/1984,+55 (90) 96475 6437,5145325265317764,74202
449,Ana Beatriz Fogaça,893.062.175-95,13/06/1992,+55 (28) 97853-9802,2508030968156158,78036
450,Daniel Azevedo,693.850.127-03,13/06/1969,+55 (09) 9 5548 9935,2521804893778820,87482
451,Luiz Miguel Lima,216.370.485-80,13/06/1995,+55 (94) 92094 2733,2720168050845379,4135
452,Theo Nunes,671.504.239-06,14/12/1985,+55 (039) 97354-7391,5205303670104223,92311
453,Sr. Vitor Cavalcanti,591.047.836-20,17/09/1959,+55 71 96980 6235,5251813575023487,56410
454,Isabelly Santos,415.073.296-52,24/03/1994,+55 57 9 0162 0577,2704299025153845,11822
455,Pedro Cavalcanti,528.634.197-73,29/08/1971,+55 (76) 9 2696-3118,2720206435720550,76624
456,Anthony Vieira,680.745.192-01,22/04/1983,+55 74 9 0179-0218,2674065564673733,1507
457,Esther Teixeira,692.085.473-29,27/11/1987,+55 (19) 9 3926 1431,5468027495569953,82975
458,Nicolas Santos,520.984.317-32,18/06/1992,+55 35 9 8202-8504,2706698472757339,67062
459,Camila Correia,805.124.639-05,14/06/1976,+55 (026) 95716 3249,2297987256750981,77491
460,Maria Alice Pires,589.207.163-40,17/11/1962,+55 (52) 9 6207 4369,2238284273153833,48554
461,Isis Barros,013.598.724-50,10/05/1958,+55 (032) 94521 9210,2244346244443098,68420
462,Raquel Sales,105.748.369-93,29/09/1989,+55 (42) 97203 3362,2288013990586408,92479
463,Dra. Larissa Rezende,198.046.357-39,21/03/2000,+55 (12) 91676 7196,2264033499957478,27060
464,Kaique Gonçalves,140.892.756-01,17/07/2004,+55 44 90150-7601,5458006543075058,79533
465,Dra. Ana Carolina Campos,612.498.350-89,23/11/1982,+55 79 9 5468 9758,2557805857182963,14062
466,Ana Lívia Dias,864.739.205-10,22/06/2004,+55 84 9 3421 9005,5389315639600057,46640
467,João Miguel Viana,062.159.847-01,18/03/1960,+55 94 91620-3655,2263936199984710,30143
468,Giovanna Farias,953.016.478-57,20/07/1987,+55 (082) 97258 3529,5359952843563162,78763
469,Sra. Alana da Mata,962.051.834-98,06/04/1966,+55 (85) 9 5089-2840,2553508705432093,77936
470,Theo Jesus,428.396.015-24,04/04/1974,+55 (35) 96830-6457,5484847858445354,48745
471,Luigi Rezende,583.124.796-19,16/11/1973,+55 (00) 93766 1125,2251219066831056,90519
472,Yasmin Almeida,103.846.795-01,25/09/1967,+55 (085) 90824-0007,2715784099475379,31407
473,Alícia Cardoso,820.764.195-94,16/11/2003,+55 91 93156 2856,2445000018312222,36491
474,Raquel Ribeiro,692.170.453-06,25/04/1991,+55 86 9 8450 8873,2708875230906725,23128
475,Giovanna da Rocha,921.503.874-41,14/03/2002,+55 (56) 90960 9192,2362732912694110,63805
476,Stephany Sales,781.053.962-03,11/10/1976,+55 (32) 9 9964-5279,2248283182067439,97497
477,Ana Freitas,614.390.752-80,20/01/1985,+55 (50) 96983-8300,2720306969330212,37627
478,Sr. João Gonçalves,810.765.324-62,19/06/1986,+55 (49) 9 3285-3023,2245449918601592,76190
479,João Miguel da Cruz,348.512.706-07,18/07/1993,+55 (84) 9 9170-3722,2288720679948242,74647
480,Ian Souza,571.982.406-58,31/12/1981,+55 54 96631 0921,2617871142481048,30047
481,Srta. Bruna Duarte,732.549.016-06,05/05/1993,+55 (038) 97283-0008,2240374739354673,83609
482,Yago Alves,836.750.124-17,11/12/1965,+55 (091) 96986 8621,2532095716060788,11263
483,Kevin Barbosa,041.365.892-98,07/12/1991,+55 (061) 91970 6959,5264323480900055,39178
484,Antônio Pinto,679.342.580-38,22/12/1971,+55 (34) 98374-1133,5215064474309321,66678
485,Agatha Pereira,275.386.094-74,29/04/1971,+55 03 9 2054-9843,2232645088209729,28021
486,Cauê Novaes,869.157.240-01,16/12/1967,+55 (010) 92668 5677,2241057266375695,68009
487,Srta. Maria Julia Souza,068.432.915-89,18/02/1958,+55 (011) 96083 8235,2476754950312663,10152
488,Carolina Azevedo,124.780.963-31,09/11/1960,+55 54 92179-1324,5475689042115472,89848
489,Joana Fernandes,639.410.572-43,15/08/1975,+55 (38) 93524 1830,2360062163567480,65125
490,Manuela Ribeiro,364.581.079-00,28/02/2001,+55 (08) 90500 1972,2252368814494938,62005
491,Nathan Silva,168.543.920-98,08/03/1959,+55 26 9 9748-0620,2627484517877440,3347
492,Dr. Benício Moraes,574.821.309-50,24/02/1970,+55 (12) 9 7036-4495,2291157747483883,74221
493,Enrico Melo,039.674.512-16,26/01/1989,+55 (096) 92334-4172,2264612671728714,71162
494,Ana Beatriz Moraes,579.648.230-00,05/01/1973,+55 (039) 98423-4777,2701583038108497,67813
495,Dra. Lorena Campos,902.354.167-70,26/01/2003,+55 (15) 9 4504-7646,2720149504138033,42587
496,Enzo Moraes,460.372.895-65,19/09/2003,+55 (02) 9 5501-8818,5432193286632955,63451
497,Pedro Fogaça,971.025.863-02,14/05/1994,+55 (57) 91955 6424,2290180871709791,10946
498,Sr. Daniel Ferreira,624.301.789-31,08/07/1966,+55 77 94811-2110,2291118439555537,69441
499,Heitor Freitas,985.740.326-38,16/09/1988,+55 84 95610-5882,2297114489488509,70930
500,Diogo da Cruz,305.682.917-86,20/05/2000,+55 (052) 92933 1326,5507839286238785,82700
501,Luiz Otávio Ramos,532.146.097-34,05/07/1979,+55 (10) 9 1311 4997,2285316529373021,2496
502,Catarina Araújo,934.126.805-24,06/07/1975,+55 88 94263-5411,2269919500707040,55490
503,Maria Clara Ferreira,253.607.489-74,04/04/1970,+55 (31) 9 9828 2739,5261003525893639,14401
504,Thomas da Paz,470.381.695-48,17/05/2005,+55 84 9 0062 0897,2277527601285293,74188
505,Lucca Cardoso,507.346.981-00,01/03/1999,+55 (20) 95124 0120,2539846748361500,87192
506,Sabrina Ribeiro,805.917.342-14,25/07/1962,+55 22 98638 9287,5377430741222171,59567
507,Esther Lima,063.984.175-93,24/07/1968,+55 11 9 5178 6421,2464800338505736,50514
508,Davi Luiz da Paz,734.056.982-00,12/04/1982,+55 39 9 1118-4621,2245856860126024,92295
509,Luiza Castro,521.897.634-28,26/05/1963,+55 49 9 8075 3902,2339525797035122,72431
510,Kaique Aragão,539.710.826-02,30/01/1981,+55 (50) 9 9083 4455,2720130539050658,63777
511,Luiza da Rocha,129.548.760-85,16/01/1978,+55 74 9 7266 0170,2242877368938630,11950
512,Luiz Fernando Melo,206.517.938-40,27/11/1971,+55 (81) 9 4077-4996,2320396340055293,92462
513,Davi Luiz da Paz,497.523.810-14,27/11/1983,+55 91 91537 8711,2720935182417503,24701
514,Alícia da Rosa,723.509.468-00,29/08/1991,+55 (094) 99599-7196,5431198056920705,3436
515,Lavínia Monteiro,651.832.479-19,02/11/1999,+55 (085) 93654-1532,2488194391507439,27145
516,Clarice Santos,854.631.907-39,21/07/1983,+55 (28) 9 2442 1841,2395313019057534,15745
517,Rebeca Cavalcanti,560.318.492-24,13/04/2002,+55 22 9 5603-0302,5531938733991317,48308
518,Yuri Costa,701.296.435-99,20/04/1984,+55 61 9 5155 7642,2259078031179575,92310
519,Sra. Julia Silveira,237.684.951-91,28/10/1965,+55 30 9 2943-6620,2272683554241091,82791
520,Pedro Henrique Costa,258.903.741-41,09/04/1974,+55 (36) 92765-6528,5445313130084865,40662
521,Vinicius Rodrigues,196.023.475-70,19/08/1971,+55 (67) 98108 6974,2703949162401719,90392
522,Emanuella Ferreira,042.576.198-30,20/09/2001,+55 30 96594-6400,2262749925470917,51642
523,Carlos Eduardo Fogaça,530.978.214-14,10/04/1995,+55 (028) 91282-8905,2244658823249930,74299
524,Eduardo Moreira,781.695.234-19,15/10/1992,+55 (69) 9 2555 1860,5496780069843362,47524
525,Thiago Alves,852.964.703-38,27/10/1967,+55 (01) 9 8161-7157,2716975976928386,35133
526,Davi Luiz Cavalcanti,910.354.782-50,26/04/1993,+55 (083) 98473-2655,5286347264239483,36062
527,Caroline Ramos,701.869.345-48,15/09/1985,+55 (51) 90730 2129,5321495124934491,21584
528,Diogo Aragão,241.785.963-73,17/10/1993,+55 (038) 91039-2999,2273812537997730,59166
529,Gabrielly Castro,189.563.740-66,29/10/1962,+55 (063) 99603-2252,5495152594837460,36707
530,Yuri Sales,057.641.328-35,15/06/2005,+55 15 91406 1898,5268223648464679,38117
531,Marcos Vinicius Moraes,854.279.310-23,27/09/1994,+55 (01) 96098 4777,5424953328604167,38116
532,Joana Castro,740.289.361-87,29/03/1997,+55 07 9 3578 5276,5488259256036023,44060
533,Joana Dias,380.924.671-96,04/03/1959,+55 (047) 99253-2708,2712969592144977,81603
534,Elisa da Costa,941.382.756-73,26/01/2000,+55 98 9 8015-6245,2222568624040865,49071
535,Pietra da Rosa,284.790.615-02,13/06/1987,+55 03 99728 8025,2703732150817447,64671
536,Lara Ferreira,432.657.918-82,11/12/1993,+55 (073) 93643-4514,2482172737026922,64555
537,Isabelly Moraes,893.467.120-31,30/08/2002,+55 (09) 90016-5514,5229954216344707,80361
538,Isis Sales,235.071.689-95,17/04/1970,+55 51 9 5251 3078,5321312352583488,97738
539,Dra. Catarina Costela,031.645.287-44,23/10/1966,+55 66 9 6590 8925,2720584489438224,41742
540,Leandro Novaes,182.073.694-69,26/11/1971,+55 (61) 9 4039-7979,2241827383287704,17532
541,Ana Lívia Oliveira,098.752.316-30,23/04/1995,+55 (94) 96340-3224,2533921940127920,84659
542,Raul Nunes,031.428.765-53,26/10/1982,+55 40 99002 9409,2580480016238535,97043
543,Nicolas Freitas,318.492.576-55,13/03/1996,+55 14 9 6246-0487,2226522425071666,44915
544,Luigi Santos,820.473.169-87,15/10/1981,+55 71 93943 0722,2272532431830586,16710
545,Ryan Martins,894.706.321-50,23/11/1963,+55 (075) 95261-4927,5396500419117452,80328
546,Dra. Gabriela Duarte,541.029.367-34,10/07/1995,+55 24 9 6885-0596,2264035516730648,50001
547,Maria Luiza Santos,538.469.027-56,17/06/1963,+55 94 9 2680 3278,2299032820895505,9125
548,Bryan Lopes,291.048.356-89,18/05/1982,+55 (49) 9 8628-5568,2667971947606275,79824
549,Daniela Araújo,819.407.563-75,26/12/1968,+55 (087) 92301-2193,5466196148736749,40968
550,Caroline Barbosa,867.132.950-02,05/05/1991,+55 97 96071-9734,2714958495326755,48099
551,Sr. João Monteiro,742.931.058-32,12/12/1999,+55 (05) 9 7368 4613,2460394494882141,50456
552,Bryan Moraes,231.945.786-00,28/01/2004,+55 (57) 94843-7460,2278747141703121,23635
553,Carolina Barbosa,984.701.526-02,30/01/1969,+55 96 96279-3186,2563542636546869,85917
554,Dra. Maria Sophia Ramos,038.412.597-23,26/01/1987,+55 (08) 9 9037 2036,2457012020246152,35027
